year,node_id,zone,impervious_pct,pervious_pct,runoff_coefficient,horton_f0_mm_hr,horton_finf_mm_hr,horton_decay_k
2013,J_CYB_069,Cyberabad - Hitec City Zone,48.45,51.55,0.513,48.66,7.15,3.5
2014,J_CYB_069,Cyberabad - Hitec City Zone,50.95,49.05,0.532,46.78,6.9,3.5
2015,J_CYB_069,Cyberabad - Hitec City Zone,54.13,45.87,0.556,44.4,6.59,3.5
2016,J_CYB_069,Cyberabad - Hitec City Zone,57.95,42.05,0.585,41.54,6.2,3.5
2017,J_CYB_069,Cyberabad - Hitec City Zone,62.23,37.77,0.617,38.32,5.78,3.5
2018,J_CYB_069,Cyberabad - Hitec City Zone,66.69,33.31,0.65,34.98,5.33,3.5
2019,J_CYB_069,Cyberabad - Hitec City Zone,70.97,29.03,0.682,31.77,4.9,3.5
2020,J_CYB_069,Cyberabad - Hitec City Zone,74.79,25.21,0.711,28.91,4.52,3.5
2021,J_CYB_069,Cyberabad - Hitec City Zone,77.97,22.03,0.735,26.52,4.2,3.5
2022,J_CYB_069,Cyberabad - Hitec City Zone,80.47,19.53,0.754,24.65,3.95,3.5
2023,J_CYB_069,Cyberabad - Hitec City Zone,82.35,17.65,0.768,23.24,3.76,3.5
2024,J_CYB_069,Cyberabad - Hitec City Zone,83.72,16.28,0.778,22.21,3.63,3.5
2025,J_CYB_069,Cyberabad - Hitec City Zone,84.69,15.31,0.785,21.48,3.53,3.5
2010,J_CYB_070,Cyberabad - Hitec City Zone,43.4,56.6,0.475,52.45,7.66,3.5
2011,J_CYB_070,Cyberabad - Hitec City Zone,44.41,55.59,0.483,51.69,7.56,3.5
2012,J_CYB_070,Cyberabad - Hitec City Zone,45.84,54.16,0.494,50.62,7.42,3.5
2013,J_CYB_070,Cyberabad - Hitec City Zone,47.81,52.19,0.509,49.14,7.22,3.5
2014,J_CYB_070,Cyberabad - Hitec City Zone,50.42,49.58,0.528,47.18,6.96,3.5
2015,J_CYB_070,Cyberabad - Hitec City Zone,53.74,46.26,0.553,44.69,6.63,3.5
2016,J_CYB_070,Cyberabad - Hitec City Zone,57.73,42.27,0.583,41.7,6.23,3.5
2017,J_CYB_070,Cyberabad - Hitec City Zone,62.21,37.79,0.617,38.34,5.78,3.5
2018,J_CYB_070,Cyberabad - Hitec City Zone,66.86,33.14,0.651,34.85,5.31,3.5
2019,J_CYB_070,Cyberabad - Hitec City Zone,71.34,28.66,0.685,31.5,4.87,3.5
2020,J_CYB_070,Cyberabad - Hitec City Zone,75.33,24.67,0.715,28.51,4.47,3.5
2021,J_CYB_070,Cyberabad - Hitec City Zone,78.65,21.35,0.74,26.01,4.14,3.5
2022,J_CYB_070,Cyberabad - Hitec City Zone,81.26,18.74,0.759,24.05,3.87,3.5
2023,J_CYB_070,Cyberabad - Hitec City Zone,83.23,16.77,0.774,22.58,3.68,3.5
2024,J_CYB_070,Cyberabad - Hitec City Zone,84.66,15.34,0.785,21.51,3.53,3.5
2025,J_CYB_070,Cyberabad - Hitec City Zone,85.67,14.33,0.793,20.75,3.43,3.5
2010,J_CYB_071,Cyberabad - Hitec City Zone,46.68,53.32,0.5,49.99,7.33,3.5
2011,J_CYB_071,Cyberabad - Hitec City Zone,47.56,52.44,0.507,49.33,7.24,3.5
2012,J_CYB_071,Cyberabad - Hitec City Zone,48.79,51.21,0.516,48.41,7.12,3.5
2013,J_CYB_071,Cyberabad - Hitec City Zone,50.48,49.52,0.529,47.14,6.95,3.5
2014,J_CYB_071,Cyberabad - Hitec City Zone,52.73,47.27,0.545,45.45,6.73,3.5
2015,J_CYB_071,Cyberabad - Hitec City Zone,55.59,44.41,0.567,43.3,6.44,3.5
2016,J_CYB_071,Cyberabad - Hitec City Zone,59.03,40.97,0.593,40.73,6.1,3.5
2017,J_CYB_071,Cyberabad - Hitec City Zone,62.89,37.11,0.622,37.84,5.71,3.5
2018,J_CYB_071,Cyberabad - Hitec City Zone,66.9,33.1,0.652,34.83,5.31,3.5
2019,J_CYB_071,Cyberabad - Hitec City Zone,70.75,29.25,0.681,31.94,4.92,3.5
2020,J_CYB_071,Cyberabad - Hitec City Zone,74.19,25.81,0.706,29.36,4.58,3.5
2021,J_CYB_071,Cyberabad - Hitec City Zone,77.05,22.95,0.728,27.21,4.3,3.5
2022,J_CYB_071,Cyberabad - Hitec City Zone,79.3,20.7,0.745,25.52,4.07,3.5
2023,J_CYB_071,Cyberabad - Hitec City Zone,80.99,19.01,0.757,24.25,3.9,3.5
2024,J_CYB_071,Cyberabad - Hitec City Zone,82.23,17.77,0.767,23.33,3.78,3.5
2025,J_CYB_071,Cyberabad - Hitec City Zone,83.1,16.9,0.773,22.68,3.69,3.5
2010,J_CYB_072,Cyberabad - Hitec City Zone,44.03,55.97,0.48,51.98,7.6,3.5
2011,J_CYB_072,Cyberabad - Hitec City Zone,44.97,55.03,0.487,51.27,7.5,3.5
2012,J_CYB_072,Cyberabad - Hitec City Zone,46.29,53.71,0.497,50.28,7.37,3.5
2013,J_CYB_072,Cyberabad - Hitec City Zone,48.11,51.89,0.511,48.91,7.19,3.5
2014,J_CYB_072,Cyberabad - Hitec City Zone,50.53,49.47,0.529,47.1,6.95,3.5
2015,J_CYB_072,Cyberabad - Hitec City Zone,53.61,46.39,0.552,44.79,6.64,3.5
2016,J_CYB_072,Cyberabad - Hitec City Zone,57.3,42.7,0.58,42.03,6.27,3.5
2017,J_CYB_072,Cyberabad - Hitec City Zone,61.44,38.56,0.611,38.92,5.86,3.5
2018,J_CYB_072,Cyberabad - Hitec City Zone,65.75,34.25,0.643,35.69,5.43,3.5
2019,J_CYB_072,Cyberabad - Hitec City Zone,69.89,30.11,0.674,32.58,5.01,3.5
2020,J_CYB_072,Cyberabad - Hitec City Zone,73.58,26.42,0.702,29.82,4.64,3.5
2021,J_CYB_072,Cyberabad - Hitec City Zone,76.65,23.35,0.725,27.51,4.33,3.5
2022,J_CYB_072,Cyberabad - Hitec City Zone,79.07,20.93,0.743,25.7,4.09,3.5
2023,J_CYB_072,Cyberabad - Hitec City Zone,80.89,19.11,0.757,24.33,3.91,3.5
2024,J_CYB_072,Cyberabad - Hitec City Zone,82.22,17.78,0.767,23.34,3.78,3.5
2025,J_CYB_072,Cyberabad - Hitec City Zone,83.15,16.85,0.774,22.63,3.68,3.5
2010,J_CYB_073,Cyberabad - Hitec City Zone,42.77,57.23,0.471,52.92,7.72,3.5
2011,J_CYB_073,Cyberabad - Hitec City Zone,43.71,56.29,0.478,52.22,7.63,3.5
2012,J_CYB_073,Cyberabad - Hitec City Zone,45.04,54.96,0.488,51.22,7.5,3.5
2013,J_CYB_073,Cyberabad - Hitec City Zone,46.87,53.13,0.502,49.85,7.31,3.5
2014,J_CYB_073,Cyberabad - Hitec City Zone,49.3,50.7,0.52,48.02,7.07,3.5
2015,J_CYB_073,Cyberabad - Hitec City Zone,52.39,47.61,0.543,45.71,6.76,3.5
2016,J_CYB_073,Cyberabad - Hitec City Zone,56.1,43.9,0.571,42.92,6.39,3.5
2017,J_CYB_073,Cyberabad - Hitec City Zone,60.26,39.74,0.602,39.8,5.97,3.5
2018,J_CYB_073,Cyberabad - Hitec City Zone,64.59,35.41,0.634,36.56,5.54,3.5
2019,J_CYB_073,Cyberabad - Hitec City Zone,68.76,31.24,0.666,33.43,5.12,3.5
2020,J_CYB_073,Cyberabad - Hitec City Zone,72.47,27.53,0.693,30.65,4.75,3.5
2021,J_CYB_073,Cyberabad - Hitec City Zone,75.55,24.45,0.717,28.33,4.44,3.5
2022,J_CYB_073,Cyberabad - Hitec City Zone,77.99,22.01,0.735,26.51,4.2,3.5
2023,J_CYB_073,Cyberabad - Hitec City Zone,79.81,20.19,0.749,25.14,4.02,3.5
2024,J_CYB_073,Cyberabad - Hitec City Zone,81.14,18.86,0.759,24.14,3.89,3.5
2025,J_CYB_073,Cyberabad - Hitec City Zone,82.09,17.91,0.766,23.43,3.79,3.5
2010,J_CYB_074,Cyberabad - Hitec City Zone,44.71,55.29,0.485,51.46,7.53,3.5
2011,J_CYB_074,Cyberabad - Hitec City Zone,45.65,54.35,0.492,50.76,7.43,3.5
2012,J_CYB_074,Cyberabad - Hitec City Zone,46.98,53.02,0.502,49.76,7.3,3.5
2013,J_CYB_074,Cyberabad - Hitec City Zone,48.81,51.19,0.516,48.39,7.12,3.5
2014,J_CYB_074,Cyberabad - Hitec City Zone,51.23,48.77,0.534,46.57,6.88,3.5
2015,J_CYB_074,Cyberabad - Hitec City Zone,54.32,45.68,0.557,44.26,6.57,3.5
2016,J_CYB_074,Cyberabad - Hitec City Zone,58.02,41.98,0.585,41.49,6.2,3.5
2017,J_CYB_074,Cyberabad - Hitec City Zone,62.17,37.83,0.616,38.37,5.78,3.5
2018,J_CYB_074,Cyberabad - Hitec City Zone,66.49,33.51,0.649,35.13,5.35,3.5
2019,J_CYB_074,Cyberabad - Hitec City Zone,70.65,29.35,0.68,32.01,4.94,3.5
2020,J_CYB_074,Cyberabad - Hitec City Zone,74.35,25.65,0.708,29.24,4.56,3.5
2021,J_CYB_074,Cyberabad - Hitec City Zone,77.43,22.57,0.731,26.92,4.26,3.5
2022,J_CYB_074,Cyberabad - Hitec City Zone,79.86,20.14,0.749,25.1,4.01,3.5
2023,J_CYB_074,Cyberabad - Hitec City Zone,81.69,18.31,0.763,23.74,3.83,3.5
2024,J_CYB_074,Cyberabad - Hitec City Zone,83.01,16.99,0.773,22.74,3.7,3.5
2025,J_CYB_074,Cyberabad - Hitec City Zone,83.95,16.05,0.78,22.03,3.6,3.5
2010,J_CYB_075,Cyberabad - Hitec City Zone,41.48,58.52,0.461,53.89,7.85,3.5
2011,J_CYB_075,Cyberabad - Hitec City Zone,42.48,57.52,0.469,53.14,7.75,3.5
2012,J_CYB_075,Cyberabad - Hitec City Zone,43.88,56.12,0.479,52.09,7.61,3.5
2013,J_CYB_075,Cyberabad - Hitec City Zone,45.81,54.19,0.494,50.65,7.42,3.5
2014,J_CYB_075,Cyberabad - Hitec City Zone,48.37,51.63,0.513,48.72,7.16,3.5
2015,J_CYB_075,Cyberabad - Hitec City Zone,51.63,48.37,0.537,46.28,6.84,3.5
2016,J_CYB_075,Cyberabad - Hitec City Zone,55.54,44.46,0.567,43.35,6.45,3.5
2017,J_CYB_075,Cyberabad - Hitec City Zone,59.93,40.07,0.599,40.05,6.01,3.5
2018,J_CYB_075,Cyberabad - Hitec City Zone,64.49,35.51,0.634,36.63,5.55,3.5
2019,J_CYB_075,Cyberabad - Hitec City Zone,68.88,31.12,0.667,33.34,5.11,3.5
2020,J_CYB_075,Cyberabad - Hitec City Zone,72.8,27.2,0.696,30.4,4.72,3.5
2021,J_CYB_075,Cyberabad - Hitec City Zone,76.05,23.95,0.72,27.96,4.39,3.5
2022,J_CYB_075,Cyberabad - Hitec City Zone,78.62,21.38,0.74,26.04,4.14,3.5
2023,J_CYB_075,Cyberabad - Hitec City Zone,80.55,19.45,0.754,24.59,3.95,3.5
2024,J_CYB_075,Cyberabad - Hitec City Zone,81.95,18.05,0.765,23.54,3.81,3.5
2025,J_CYB_075,Cyberabad - Hitec City Zone,82.94,17.06,0.772,22.79,3.71,3.5
